,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0,72.4,72.79,72.47,71.41,72.5,73.59,73.22,73.65,72.4,72.49,72.15,73.16,72.72,72.69,72.82,72.83,73.05,74.01,74.77,73.94,73.61,73.4,74.34,73.98,74.76,74.68,75.21,74.77,75.31,75.16,75.44,74.94,74.21,74.41,73.26,73.26,73.85,73.87,74.49,74.61,74.26,74.69,75.97,76.0,76.29,76.29,76.42,77.12,77.49,77.65,77.59,77.61,77.91,78.81,78.83,78.86,78.63,78.76,83.81,83.89,83.18,83.18,84.05,84.14,84.47,84.27,84.56,84.09,83.87,83.93,84.05,82.98,83.2,82.4,82.53,83.72,83.11,83.26,83.87,84.88,83.34,84.17,84.26,81.08,81.59,82.78,82.49,84.16,85.23,85.58,85.35,84.69,86.85,86.38,85.83,85.52,85.5,85.51,85.4,85.71,85.72,85.54,85.95,86.35,87.11,88.19,88.28,88.22,87.82,88.08,89.6,88.35,90.14,90.1,90.0,91.61,91.9,91.82,92.33,94.06,93.92,92.74,95.01,94.26
1,[72.550156],[72.81399],[72.56829],[71.706116],[72.52834],[73.4122],[73.271736],[73.5893],[72.433975],[72.4908],[72.235504],[73.04578],[72.7466],[72.69713],[72.81221],[72.87577],[73.05163],[73.708565],[74.280235],[73.84028],[73.604065],[73.41531],[74.13266],[73.885666],[74.4463],[74.50039],[74.896484],[74.689285],[75.070015],[75.00665],[75.252266],[74.91911],[74.296776],[74.415245],[73.422424],[73.384285],[73.88898],[73.88048],[74.47808],[74.62987],[74.308205],[74.7114],[75.72917],[75.879005],[76.10394],[76.120964],[76.25023],[76.72087],[77.047356],[77.24388],[77.29151],[77.40608],[77.663956],[78.3798],[78.47939],[78.58936],[78.455055],[78.61234],[81.572075],[82.482704],[82.400734],[82.50127],[83.32534],[83.589935],[83.96276],[83.75581],[84.1916],[83.85027],[83.85427],[83.69672],[83.89654],[83.0158],[83.070526],[82.53674],[82.660805],[83.64775],[83.22869],[83.228584],[83.86738],[84.69391],[83.53642],[84.09477],[84.24718],[82.00739],[81.860306],[82.75712],[82.63189],[83.88697],[84.9899],[85.2825],[85.26215],[84.67082],[86.223976],[86.07661],[85.707985],[85.4469],[85.52543],[85.49097],[85.47305],[85.563995],[85.60317],[85.472855],[85.936646],[86.325485],[86.89079],[87.743904],[87.89541],[87.87129],[87.701935],[87.88091],[88.927986],[88.16909],[89.52839],[89.64493],[89.70002],[90.84214],[91.2406],[91.33048],[91.879234],[93.09074],[93.288376],[92.443184],[94.20126],[93.848335]
2,[72.22048],[72.76973],[72.581024],[72.61098],[72.39271],[72.83829],[72.99057],[73.24359],[73.061905],[73.06669],[72.58928],[72.87184],[72.66],[72.64546],[72.63311],[72.763985],[72.961624],[72.97337],[73.84532],[73.603294],[74.0086],[73.64045],[73.38483],[73.676384],[73.79892],[74.11258],[74.51581],[74.8212],[74.93681],[74.84941],[75.21175],[75.303375],[74.85475],[74.841125],[74.31783],[74.04159],[74.08353],[74.275734],[74.15555],[74.38889],[74.62448],[74.54041],[74.788],[75.273705],[75.856125],[76.13827],[76.243774],[76.76627],[77.17535],[77.24227],[77.644554],[77.59707],[77.71614],[78.15732],[78.36426],[78.26064],[78.6975],[78.593216],[80.54129],[82.77374],[82.36122],[82.454636],[82.69822],[82.91007],[83.22424],[83.69498],[83.82401],[84.0157],[84.09401],[83.31976],[84.00383],[83.535645],[83.3311],[82.87993],[83.4742],[82.72329],[83.054855],[82.96896],[83.5849],[83.75031],[83.72925],[83.6365],[83.8387],[83.62802],[82.65194],[82.235985],[82.647],[82.51709],[83.42181],[84.180954],[85.112175],[84.84719],[85.64518],[85.919014],[85.85127],[85.29717],[85.18499],[84.894264],[85.253914],[85.088585],[85.31556],[85.160965],[85.44039],[86.12797],[86.01554],[86.68722],[87.23169],[87.80807],[87.815704],[88.09888],[88.19758],[89.22771],[88.595116],[89.33282],[89.13614],[89.8381],[90.34941],[91.254616],[91.75923],[92.44374],[93.703064],[92.96885],[93.20541],[94.42506]
3,[72.3495],[72.76309],[72.46628],[71.56732],[72.4956],[73.50469],[73.149536],[73.584564],[72.39799],[72.49099],[72.17834],[73.121544],[72.68685],[72.653496],[72.78533],[72.78524],[72.99832],[73.78459],[74.29412],[73.85487],[73.53035],[73.32955],[74.20958],[73.9072],[74.568756],[74.53777],[74.95143],[74.63825],[75.09691],[74.995224],[75.258484],[74.84387],[74.16499],[74.38131],[73.303406],[73.315926],[73.849724],[73.87847],[74.48639],[74.62101],[74.26828],[74.703316],[75.77196],[75.8612],[76.06994],[76.102554],[76.22833],[76.79634],[77.1321],[77.30967],[77.31304],[77.34576],[77.61323],[78.363174],[78.43682],[78.525314],[78.376915],[78.52685],[81.623795],[82.510864],[82.379364],[82.51537],[83.26944],[83.45932],[83.84522],[83.777084],[84.09957],[83.73416],[83.57873],[83.66479],[83.79266],[82.80644],[83.07196],[82.312584],[82.435875],[83.569336],[82.9731],[83.191864],[83.85744],[84.743095],[83.40003],[84.19457],[84.24101],[81.84935],[81.772484],[82.75725],[82.49458],[84.09216],[85.00473],[85.27493],[85.10058],[84.50109],[86.293724],[86.08983],[85.64051],[85.37913],[85.37598],[85.39231],[85.29672],[85.60103],[85.59584],[85.43027],[85.82568],[86.194046],[86.88262],[87.725395],[87.88702],[87.88121],[87.61884],[87.87028],[89.0215],[88.2212],[89.609505],[89.65956],[89.63128],[90.889984],[91.21901],[91.27865],[91.7751],[93.12912],[93.2067],[92.38589],[94.29794],[93.77971]
