,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0,106.6,106.4,105.69,103.81,104.46,105.7,105.89,106.16,104.55,104.82,104.93,105.41,105.56,104.61,105.12,105.37,104.78,104.53,104.95,105.34,104.76,106.07,108.01,108.3,110.19,109.94,109.8,109.2,109.74,110.06,110.33,109.9,109.63,110.27,108.95,107.92,107.98,108.8,109.65,110.56,110.94,110.12,110.92,110.97,112.31,112.35,112.66,112.65,112.72,111.84,111.34,111.77,113.4,112.03,112.32,112.3,112.8,113.4,114.15,113.8,114.2,116.27,115.52,114.91,114.99,114.22,114.6,112.64,112.59,112.37,113.08,112.88,113.94,113.75,114.03,115.29,113.85,116.41,115.74,115.52,112.97,113.35,111.78,111.44,111.3,112.2,112.42,112.55,112.03,112.67,112.9,113.8,114.28,115.92,115.2,113.16,112.88,112.58,112.36,113.1,112.4,112.36,112.39,113.31,115.05,116.33,114.8,114.16,112.87,109.64,110.13,110.68,111.19,111.67,113.2,112.78,114.27,114.37,112.84,114.54,113.54,110.81,113.25,111.65
1,[106.59084],[106.41996],[105.7706],[103.99291],[104.545395],[105.74584],[105.88827],[106.08078],[104.7805],[104.885475],[104.95376],[105.452415],[105.56178],[104.83565],[105.2493],[105.489914],[105.00883],[104.575676],[104.90874],[105.499664],[104.831436],[105.734535],[106.96015],[107.586296],[108.6216],[109.20337],[109.29021],[108.96643],[109.44024],[109.83516],[110.029816],[109.80162],[109.48429],[110.098694],[108.8676],[107.82941],[107.8167],[108.931755],[109.67505],[110.47606],[110.7601],[110.15081],[110.79793],[110.88246],[111.7691],[111.99862],[112.321205],[112.43114],[112.50716],[111.8138],[111.30124],[111.73184],[113.10118],[111.97537],[112.21199],[112.25989],[112.74685],[113.243164],[113.85237],[113.6733],[113.96568],[115.22842],[115.21344],[114.68767],[114.819756],[114.24794],[114.51502],[112.782005],[112.46068],[112.47538],[113.042534],[112.957634],[113.800804],[113.804016],[114.009544],[115.156364],[113.96098],[116.04018],[115.59223],[115.39757],[113.37227],[113.38778],[112.07385],[111.722595],[111.5881],[112.389404],[112.48826],[112.72388],[112.13513],[112.60035],[113.016464],[113.78694],[114.247696],[115.45049],[115.311615],[113.38504],[112.99228],[112.74139],[112.52957],[113.313576],[112.53911],[112.34077],[112.489586],[113.36661],[114.79143],[115.6713],[114.78777],[114.24987],[113.180984],[110.70529],[110.51073],[111.0317],[111.34716],[111.78468],[113.074615],[112.83812],[113.945595],[114.28951],[113.07719],[114.37137],[113.52856],[111.38626],[113.09237],[111.738335]
2,[107.02798],[106.559746],[106.10627],[105.58203],[105.01406],[105.12097],[105.184875],[105.48702],[105.21691],[105.18767],[104.73979],[104.923225],[105.09523],[105.06895],[104.97243],[105.31033],[104.805244],[105.097336],[104.450264],[105.407394],[105.178955],[105.10725],[105.29796],[107.14335],[107.7507],[109.23645],[109.83468],[109.544846],[109.77551],[109.42529],[110.00398],[109.762474],[110.01129],[109.931946],[109.297424],[108.673294],[108.14854],[107.8772],[108.568146],[109.71785],[109.47898],[110.28702],[109.86806],[111.10787],[111.044914],[111.924484],[111.24923],[112.195656],[112.42254],[112.50585],[111.67904],[111.73229],[112.27881],[112.54046],[111.06161],[111.8809],[111.72877],[112.46938],[112.90401],[113.62043],[113.439575],[114.64348],[115.342735],[115.19596],[114.91099],[114.76158],[114.43161],[114.257256],[114.188],[113.53419],[112.74152],[112.93884],[112.949844],[113.242874],[113.32408],[113.64571],[113.363106],[114.28329],[114.41994],[114.6153],[114.07796],[113.95086],[113.267815],[113.141464],[112.03466],[111.61228],[112.74497],[112.70519],[113.24944],[112.387726],[113.90597],[113.74327],[113.54778],[114.57546],[114.43434],[114.13149],[113.939835],[113.88377],[114.10839],[113.505455],[113.28882],[112.590195],[111.89942],[113.02813],[112.84654],[114.57485],[114.51829],[114.401215],[114.17643],[113.71631],[110.74081],[110.55401],[110.788376],[111.761856],[111.9364],[113.60616],[113.19027],[114.19014],[114.21693],[113.21719],[113.29397],[112.10593],[111.20461],[112.09942]
3,[106.49908],[106.3288],[105.65303],[103.93715],[104.44456],[105.70063],[105.84161],[106.08051],[104.54126],[104.7986],[104.910934],[105.37179],[105.51181],[104.61812],[105.117615],[105.3429],[104.77027],[104.56069],[104.95811],[105.34036],[104.77349],[106.024635],[107.00863],[107.62558],[108.600784],[109.17847],[109.250534],[108.89328],[109.33477],[109.65733],[109.93523],[109.622246],[109.39531],[109.982155],[108.79422],[107.84154],[107.94963],[108.78528],[109.60325],[110.43923],[110.747604],[110.029594],[110.75876],[110.80928],[111.79615],[112.0131],[112.303825],[112.38615],[112.49096],[111.78764],[111.31881],[111.71095],[113.161285],[111.99961],[112.26488],[112.24945],[112.70759],[113.24172],[113.841415],[113.65034],[113.9716],[115.286156],[115.24017],[114.80834],[114.86801],[114.19851],[114.53964],[112.68848],[112.63457],[112.43888],[113.12807],[112.88161],[113.92534],[113.727036],[114.00184],[115.23207],[113.9134],[116.16873],[115.724365],[115.47142],[113.11656],[113.33112],[111.99461],[111.68567],[111.56212],[112.322334],[112.508896],[112.60326],[112.081635],[112.692375],[112.8908],[113.769745],[114.23936],[115.69027],[115.116806],[113.21146],[112.90963],[112.58586],[112.37721],[113.148544],[112.424965],[112.40108],[112.437836],[113.34545],[114.9009],[115.80314],[114.85475],[114.192314],[112.92966],[110.51269],[110.39886],[110.87402],[111.31764],[111.73253],[113.21449],[112.78325],[114.22544],[114.37273],[112.92612],[114.62147],[113.61259],[110.99141],[113.32444],[111.620674]
