,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0,158.81,160.08,161.06,155.32,157.48,159.85,161.6,160.95,157.86,157.5,157.21,159.78,159.98,159.27,159.86,161.47,162.91,163.35,164.0,164.05,162.08,161.91,161.26,158.63,161.5,160.86,159.65,158.28,159.88,158.67,158.73,156.07,153.39,151.89,150.55,153.14,154.23,153.28,154.12,153.81,154.48,153.48,155.39,155.3,155.84,155.9,156.55,156.0,156.99,159.88,160.47,159.76,155.98,156.25,156.17,157.1,156.41,157.41,163.05,166.72,169.04,166.89,168.11,172.5,174.25,174.81,176.24,175.88,174.67,173.97,171.34,169.08,171.1,170.15,169.98,173.14,174.96,174.97,174.09,173.07,169.48,171.85,171.05,169.8,169.64,169.01,169.32,169.37,172.67,171.7,172.27,172.22,173.97,176.42,174.54,174.35,175.01,175.01,170.57,170.6,171.08,169.23,172.26,172.23,173.03,175.0,174.35,174.33,174.29,175.28,177.09,176.19,179.1,179.26,178.46,177.0,177.04,174.22,171.11,171.51,167.96,166.97,167.43,167.78
1,[157.84685],[158.94414],[159.37166],[155.3469],[156.96791],[159.37393],[160.66594],[160.1609],[157.81512],[157.60991],[157.13972],[159.75188],[159.48541],[159.55171],[160.16039],[161.19493],[162.3403],[162.5303],[163.25803],[163.56555],[162.09126],[161.84029],[161.3855],[159.16301],[161.18585],[160.91835],[159.79861],[158.50716],[159.90717],[159.11711],[159.12689],[157.26208],[155.64848],[154.08981],[152.99283],[154.23636],[155.00128],[154.0673],[154.57758],[154.16867],[154.94504],[154.14595],[155.42622],[155.47673],[155.86548],[155.76706],[156.47214],[155.9256],[156.80994],[158.96756],[159.51291],[159.00456],[156.19818],[156.20506],[156.08528],[156.82077],[156.27171],[157.29327],[161.23616],[163.71805],[165.79913],[165.47183],[166.8546],[169.67972],[171.33415],[172.33789],[173.86897],[174.27925],[173.54425],[172.86249],[170.9172],[168.95302],[171.08488],[170.0313],[169.97171],[172.93483],[174.88509],[174.82726],[174.11761],[172.97783],[170.4176],[171.73932],[171.35886],[170.0804],[170.06674],[169.50595],[169.63907],[169.71606],[172.43922],[171.94261],[172.26779],[172.20671],[173.59256],[175.47765],[174.36668],[174.20189],[174.67969],[174.7552],[171.13873],[170.79704],[171.21472],[169.79381],[171.59875],[172.26317],[173.02304],[174.7453],[174.22528],[174.1041],[174.19547],[174.86899],[176.40152],[175.94276],[178.0411],[178.52666],[178.16574],[176.82008],[176.98038],[174.48914],[171.98279],[171.9064],[169.6491],[168.57628],[168.79596],[168.88338]
2,[156.59108],[158.62157],[158.6937],[157.27928],[157.07861],[156.84184],[158.03856],[158.21675],[158.60294],[158.337],[155.83493],[156.25038],[157.12291],[157.77652],[160.40532],[159.76022],[158.52182],[159.99835],[161.2781],[161.70921],[162.49077],[161.96394],[161.10098],[161.13074],[161.01517],[160.4305],[160.78899],[160.83351],[160.5256],[159.87854],[160.1093],[158.51573],[156.89781],[154.2447],[152.92569],[152.10172],[155.27574],[153.70418],[155.67847],[154.7551],[155.0354],[154.82759],[155.3111],[155.81502],[156.8488],[156.00616],[155.74109],[155.25024],[156.53236],[156.90012],[158.03317],[159.11409],[158.92183],[157.64574],[157.04909],[157.0765],[155.83522],[155.85419],[159.26886],[162.1582],[166.40898],[168.39742],[166.65448],[168.68445],[171.4151],[172.97786],[174.5632],[175.70699],[173.2824],[173.07463],[171.60822],[171.42703],[171.47336],[169.70493],[170.352],[170.5988],[174.66893],[172.9348],[173.65921],[173.44829],[172.3274],[172.17723],[172.4453],[172.10167],[171.76791],[171.18591],[170.23172],[170.06133],[170.94308],[172.36209],[172.14243],[173.26784],[172.14993],[172.22675],[174.38959],[174.23969],[174.10986],[173.93936],[174.06238],[172.86705],[171.9944],[171.65955],[169.82155],[171.63023],[172.21526],[172.79088],[173.36076],[173.246],[173.40111],[173.9064],[174.4105],[175.82582],[175.81625],[177.79146],[177.26593],[177.67503],[177.42224],[176.44771],[175.79475],[174.03218],[172.00665],[168.84624],[166.88269],[168.35217]
3,[157.87094],[158.94707],[159.91063],[155.2847],[157.34042],[159.34663],[160.83173],[160.39288],[157.58572],[157.24402],[156.95105],[159.46442],[159.69754],[159.09277],[159.65742],[161.0588],[162.29562],[162.74603],[163.39572],[163.58366],[161.99316],[161.88223],[161.27277],[158.73076],[161.476],[160.82657],[159.67737],[158.43591],[159.87608],[158.74413],[158.74588],[156.70403],[154.96419],[153.53825],[152.17952],[153.49783],[154.44102],[153.5074],[154.20564],[153.85785],[154.4876],[153.52727],[155.36966],[155.23141],[155.76381],[155.84343],[156.50519],[155.9831],[156.98376],[159.27423],[159.79898],[159.36598],[156.17024],[156.4147],[156.26434],[157.15782],[156.46774],[157.42822],[161.51736],[163.82782],[166.0707],[165.9204],[166.96448],[170.18483],[172.0702],[173.16034],[174.63579],[174.72826],[173.92561],[173.39963],[171.01875],[168.90775],[170.91226],[170.00076],[169.91434],[172.98671],[174.71408],[174.75092],[174.05595],[173.19362],[169.68906],[171.76318],[170.93132],[169.95866],[169.80902],[169.20949],[169.41527],[169.43005],[172.59755],[171.65154],[172.22296],[172.16614],[173.84987],[175.77425],[174.43564],[174.25833],[174.90633],[174.93237],[170.7443],[170.67683],[171.11682],[169.40446],[172.22891],[172.24155],[173.05623],[174.97217],[174.42697],[174.3558],[174.2857],[175.24309],[176.74872],[176.07712],[178.35353],[178.70703],[178.22601],[177.01567],[177.06029],[174.29787],[171.42995],[171.74646],[168.95026],[168.04195],[168.18488],[168.27487]
