,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0,945.75,944.19,940.08,923.59,930.09,938.93,938.08,944.27,927.66,926.18,920.87,940.4,942.58,936.89,930.5,928.13,935.75,943.63,955.24,951.99,941.48,942.02,949.89,941.41,943.29,946.65,950.44,940.13,935.29,929.75,936.86,947.54,947.55,943.26,934.28,937.43,959.9,964.81,973.72,967.47,972.08,966.78,985.19,993.64,992.31,987.8,1005.65,1005.65,1007.87,1009.35,1011.0,1012.74,1001.84,1005.07,985.54,988.49,991.46,991.42,1033.67,1033.13,1033.04,1042.6,1042.97,1049.99,1042.68,1052.39,1058.29,1047.72,1044.15,1041.2,1041.64,1036.41,1048.47,1035.89,1034.66,1050.3,1051.92,1056.52,1072.01,1063.29,1037.38,1036.17,1025.07,1011.87,1019.6,1032.72,1044.57,1049.38,1051.97,1048.77,1051.39,1057.47,1072.0,1085.09,1079.78,1073.56,1070.85,1068.86,1065.85,1060.2,1055.95,1053.4,1073.21,1091.52,1095.76,1110.29,1114.21,1112.79,1110.14,1112.05,1130.65,1130.7,1139.1,1135.97,1143.5,1164.16,1176.17,1171.29,1182.14,1187.56,1186.48,1177.37,1182.22,1181.59
1,[946.8576],[945.54065],[941.8531],[928.26495],[932.7111],[939.14746],[938.0542],[943.0957],[930.0311],[926.7955],[922.06085],[939.2318],[942.9468],[938.1612],[931.57635],[928.1758],[934.92847],[942.6057],[951.0343],[949.61694],[940.8805],[941.132],[948.0733],[941.27716],[943.33307],[945.51025],[948.47504],[940.01105],[936.4499],[929.6784],[936.30066],[945.5438],[946.5384],[943.63],[934.35364],[937.86206],[954.98706],[960.56256],[966.3441],[964.27893],[968.36224],[966.146],[979.5248],[985.80444],[987.0197],[983.6672],[998.02576],[1000.57434],[1003.351],[1005.8271],[1007.15735],[1009.42773],[999.84344],[1004.2647],[985.25507],[988.16986],[990.1934],[991.07806],[1024.6184],[1027.9199],[1029.1838],[1035.8698],[1038.4186],[1044.7544],[1041.4777],[1047.3241],[1052.9038],[1045.5576],[1041.2527],[1039.847],[1040.6827],[1035.3309],[1045.1193],[1037.1431],[1035.1185],[1048.009],[1050.9147],[1055.7656],[1064.4442],[1061.8438],[1040.4819],[1036.2802],[1027.9778],[1019.6232],[1021.0171],[1032.1692],[1042.9347],[1047.7175],[1051.3573],[1048.0045],[1052.2423],[1056.8488],[1068.473],[1077.8425],[1076.6486],[1071.5504],[1069.7333],[1068.1847],[1064.8467],[1059.599],[1055.6763],[1053.7151],[1071.4113],[1087.0623],[1091.8317],[1100.6418],[1105.3083],[1107.3015],[1107.4154],[1109.6233],[1123.3888],[1125.6123],[1131.9717],[1130.592],[1138.1586],[1154.539],[1165.1445],[1164.7771],[1173.672],[1180.0919],[1181.6423],[1175.7495],[1179.5021],[1179.5366]
2,[947.228],[944.4559],[949.34766],[942.15753],[933.98157],[942.4856],[939.3758],[939.5357],[941.61346],[940.2341],[932.1887],[926.75433],[938.4385],[938.33484],[939.91833],[935.9478],[936.00726],[937.13873],[942.75836],[946.1846],[944.5922],[941.10034],[940.9343],[935.9908],[940.48627],[940.185],[943.8468],[945.55963],[942.6238],[938.1197],[938.2595],[938.7012],[940.05493],[941.9615],[940.8349],[937.83905],[944.1667],[951.4193],[964.5179],[968.4775],[964.3644],[965.9988],[969.14575],[978.83356],[987.5304],[990.7327],[991.3852],[992.866],[999.4825],[995.70734],[1007.7172],[1006.1597],[1008.9312],[998.25195],[1002.34973],[995.82904],[984.13635],[991.1081],[1007.2414],[1021.4],[1023.89484],[1026.1128],[1034.1311],[1038.5754],[1041.9265],[1047.5682],[1049.397],[1054.467],[1049.7146],[1047.4216],[1039.6646],[1045.0222],[1035.7354],[1035.5381],[1034.5304],[1034.7191],[1038.01],[1054.125],[1054.9701],[1063.9595],[1052.753],[1047.8882],[1032.9075],[1023.53986],[1021.90314],[1030.0526],[1034.8887],[1037.5055],[1037.2396],[1042.7164],[1047.5415],[1057.0171],[1050.4526],[1061.9854],[1067.3336],[1064.1564],[1063.0883],[1063.2491],[1062.4746],[1065.6907],[1063.6796],[1063.7733],[1057.9463],[1067.8517],[1081.0687],[1090.4624],[1104.8823],[1104.0005],[1107.6919],[1108.861],[1112.6992],[1121.9515],[1124.3176],[1131.301],[1129.6653],[1136.0638],[1154.3204],[1162.4064],[1175.0717],[1188.5736],[1188.6165],[1182.0621],[1181.7227],[1183.2943]
3,[946.4499],[944.8692],[941.49603],[928.1832],[932.8755],[940.1492],[938.99646],[944.7059],[928.64935],[927.22266],[922.55023],[939.72046],[941.51227],[936.1689],[930.4164],[928.36084],[935.5328],[943.06085],[952.3043],[950.6113],[941.04193],[941.3043],[948.73865],[940.7186],[942.815],[945.9185],[949.2553],[939.47705],[934.756],[929.96387],[936.64746],[946.9588],[947.1116],[942.9679],[934.5063],[937.4191],[956.93054],[961.6601],[967.32086],[964.8365],[968.3031],[964.6179],[979.1856],[986.239],[987.46375],[984.5824],[998.6801],[999.9233],[1002.86554],[1004.78876],[1006.7527],[1008.7598],[999.3526],[1002.97815],[984.06146],[987.71954],[990.68335],[990.70764],[1026.3708],[1029.1399],[1029.5027],[1036.4764],[1037.5864],[1044.042],[1039.5516],[1048.341],[1053.452],[1045.3047],[1042.2556],[1039.3479],[1039.7736],[1034.5581],[1046.5834],[1034.235],[1033.7399],[1049.2031],[1050.8079],[1055.0735],[1064.7571],[1061.7424],[1038.7139],[1035.733],[1027.9598],[1019.1819],[1021.91565],[1033.2922],[1044.901],[1049.4413],[1051.4989],[1048.0739],[1050.5947],[1056.3419],[1068.7871],[1078.9722],[1076.8418],[1071.838],[1069.5211],[1067.8423],[1065.0894],[1059.3588],[1054.7413],[1052.286],[1071.8853],[1087.7183],[1091.4094],[1101.4957],[1106.0806],[1107.2665],[1106.4325],[1108.8323],[1123.9948],[1125.5754],[1132.9973],[1131.3202],[1137.8835],[1154.5449],[1165.5133],[1164.2566],[1174.0376],[1179.6605],[1180.3417],[1173.4907],[1178.1348],[1177.557]
