,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
0,143.47,142.11,141.77,141.84,141.84,142.32,142.07,142.5,140.7,139.7,140.33,141.01,142.14,142.94,143.74,142.51,143.14,142.56,143.03,144.08,143.04,143.82,142.9,142.45,144.86,145.76,145.99,145.54,144.82,144.55,144.39,145.88,145.26,145.13,145.87,146.56,145.66,145.66,145.08,146.66,146.78,146.48,146.72,146.48,147.39,148.5,147.62,147.03,147.1,146.83,146.54,159.53,160.9,162.07,159.55,155.88,153.495,153.6,153.68,154.36,154.06,154.03,153.35,151.58,150.84,151.35,151.57,150.3,149.16,148.4,148.89,147.1,149.12,148.97,150.51,151.95,151.77,151.84,151.98,152.47,153.55,153.97,154.76,156.46,155.35,154.1,153.57,154.81,155.41,156.74,153.91,154.0,152.5,153.33,153.23,152.95,151.5,152.5,152.83,153.13,154.04,153.42,154.25,158.49,161.7,162.49,163.47,163.83,164.18,164.2,163.14,163.85,168.65,169.12,162.37,162.6,166.25,165.37,165.47,167.34,166.8,163.62,163.7,162.4
1,[143.74863],[142.75264],[142.2791],[142.25195],[142.20341],[142.62102],[142.40453],[142.69382],[141.22346],[140.4169],[140.81076],[141.3218],[142.14735],[142.8379],[143.5024],[142.58424],[143.02876],[142.51358],[142.97583],[143.71254],[143.03264],[143.5813],[142.81453],[142.49835],[144.36833],[145.17049],[145.43417],[145.20152],[144.70851],[144.45007],[144.3949],[145.36313],[145.13905],[145.08044],[145.68115],[146.2325],[145.57065],[145.50975],[145.20241],[146.23965],[146.51086],[146.18478],[146.5725],[146.3787],[147.01526],[147.82529],[147.44923],[146.97987],[146.96689],[146.77121],[146.51787],[149.46153],[155.76756],[158.33968],[158.01904],[155.23466],[153.5655],[153.37526],[153.67154],[154.69781],[153.99591],[153.94946],[153.41348],[151.42014],[151.31483],[151.56499],[151.80273],[150.71516],[149.84659],[148.887],[149.52255],[147.87822],[149.54243],[149.39919],[150.5835],[151.75815],[151.68925],[151.64723],[151.89346],[152.22714],[153.29063],[153.44049],[153.97243],[155.12994],[154.84663],[153.81331],[153.43613],[154.49637],[154.91754],[156.00569],[154.019],[153.9428],[152.43707],[153.39665],[153.2305],[153.10376],[151.8899],[152.51805],[152.95393],[153.02905],[153.81505],[153.46161],[154.172],[156.95038],[158.27824],[160.04155],[161.51704],[162.3213],[162.97765],[163.00629],[162.37334],[163.0212],[166.27448],[167.45995],[162.10115],[162.39255],[165.72069],[165.10754],[164.88878],[166.93686],[166.7054],[163.52042],[163.66216],[162.37445]
2,[144.16348],[142.10712],[141.53348],[142.67415],[142.0797],[141.68143],[142.60367],[142.05312],[141.96721],[140.54628],[140.12587],[141.12347],[141.664],[141.8681],[142.5327],[142.92378],[143.51372],[143.0673],[142.59224],[142.67943],[142.9862],[143.26749],[143.25885],[143.18697],[143.6973],[144.25201],[144.95296],[144.95193],[144.96674],[144.85594],[144.29796],[144.99161],[144.67674],[144.67693],[145.14209],[145.54941],[145.66702],[145.18073],[145.46552],[145.59064],[145.93439],[145.885],[146.44283],[146.20602],[146.86691],[147.53807],[147.49855],[147.07837],[147.04532],[146.83032],[146.19824],[148.54007],[156.92143],[159.11224],[160.89175],[160.13957],[158.85686],[155.84671],[153.93124],[155.31439],[155.72676],[154.22778],[151.44067],[151.56152],[152.59276],[151.3493],[151.40872],[150.34288],[149.90164],[151.76053],[149.16507],[149.25943],[148.8274],[150.01852],[150.38493],[150.56459],[150.44345],[151.97946],[151.71347],[151.63869],[152.27643],[152.84636],[152.9988],[154.07233],[155.88605],[154.59274],[153.95627],[153.21135],[153.77524],[154.50795],[154.15607],[155.02495],[154.07048],[152.92885],[153.0722],[153.62555],[152.93272],[151.71933],[152.63206],[152.63101],[153.03787],[152.98985],[154.41411],[154.81831],[156.99893],[160.49968],[160.37054],[161.51112],[162.72487],[163.20337],[163.01129],[162.05453],[165.08232],[167.58025],[165.09079],[162.2436],[162.54912],[163.3136],[163.28777],[163.75284],[164.61339],[165.67857],[164.76045],[164.42116]
3,[143.93121],[142.68918],[142.27335],[142.22095],[142.15599],[142.54948],[142.3198],[142.61299],[141.04556],[140.29475],[140.64435],[141.1854],[142.19519],[142.94373],[143.69183],[142.45238],[143.13988],[142.53923],[143.07053],[143.98016],[142.99808],[143.69574],[142.8614],[142.45285],[144.59605],[145.29553],[145.59198],[145.34282],[144.7605],[144.52542],[144.37123],[145.72217],[145.18188],[145.05136],[145.707],[146.28215],[145.54684],[145.57332],[145.01796],[146.53075],[146.64764],[146.37634],[146.56848],[146.31416],[147.14548],[147.8803],[147.54929],[147.0178],[147.08636],[146.82724],[146.5426],[149.74834],[157.10805],[159.39816],[158.63493],[155.67435],[153.49919],[153.71356],[153.77629],[154.37125],[153.9629],[153.90959],[153.22798],[151.51907],[150.85469],[151.3291],[151.48804],[150.16403],[149.0537],[148.35371],[148.83244],[147.70271],[149.29463],[149.14053],[150.60002],[151.94862],[151.76094],[151.83858],[151.95293],[152.46036],[153.40787],[153.71161],[154.33679],[155.50519],[155.08006],[154.05022],[153.55792],[154.70381],[155.23105],[156.37657],[153.91026],[154.08784],[152.62016],[153.5221],[153.41853],[153.15533],[151.81546],[152.65639],[152.95364],[153.24454],[154.13603],[153.51718],[154.34946],[157.31335],[158.96458],[160.6819],[161.80142],[162.51399],[163.09528],[163.3738],[162.65073],[163.33476],[167.20833],[167.94714],[162.43852],[162.82466],[166.26959],[165.40225],[165.54834],[167.25943],[166.68544],[163.53636],[163.68567],[162.6136]
